n,ns_per_op
005,8684
005,9223
005,8711
005,8274
005,8187
010,288955
010,290376
010,299019
010,295391
010,297598
015,9829164
015,9927655
015,9990695
015,9994608
015,10129836
020,388704541
020,380616427
020,376804668
020,379704461
020,397541736
025,15303441558
025,15213521584
025,15565387798
025,15668887409
025,15466404540
