n,ns_per_op
0010000,20.77
0010000,20.58
0010000,20.73
0510000,29.67
0510000,29.54
0510000,29.74
1010000,43.27
1010000,43.89
1010000,43.30
1510000,43.66
1510000,43.67
1510000,44.14
2010000,44.00
2010000,43.79
2010000,44.11
2510000,45.99
2510000,46.04
2510000,45.91
3010000,46.14
3010000,46.10
3010000,45.86
3510000,46.07
3510000,46.17
3510000,45.89
4010000,46.66
4010000,47.74
4010000,46.99
4510000,37.48
4510000,38.77
4510000,37.45
